pair,date,spot,rate_diff,stress,ca_diff,tb_diff,prod_diff,fair_value,z_score,lambda,fit,model_status
eurcad,2026-06-11,1.61658,-0.3833,2.0,1.493,-0.1323,0.7402,,,,,insufficient_history
eurchf,2026-06-11,0.91976,2.5997,2.0,-2.5172,-1.2416,-2.3935,,,,,insufficient_history
eurgbp,2026-06-11,0.86284,-1.8873,2.0,2.9831,3.6824,-0.6598,,,,,insufficient_history
eurjpy,2026-06-11,185.108,0.3407,2.0,-1.6873,0.0166,15.3626,,,,,insufficient_history
eurnok,2026-06-11,10.9809,-1.3743,2.0,-18.8166,-5.9406,0.0732,,,,,insufficient_history
eurnzd,2026-06-11,1.9835,-1.5243,2.0,8.74,-2.4099,-0.5569,,,,,insufficient_history
eursek,2026-06-11,10.9266,0.1757,2.0,-4.8914,0.6242,0.2493,,,,,insufficient_history
eurusd,2026-06-11,1.15821,-1.4243,2.0,3.0197,0.897,0.0358,,,,,insufficient_history
gbpaud,2026-06-11,1.90266,0.012,2.0,1.3219,-3.7302,1.4988,,,,,insufficient_history
gbpcad,2026-06-11,1.87316,1.504,2.0,-1.4901,-3.8147,1.4,,,,,insufficient_history
gbpchf,2026-06-11,1.06622,4.487,2.0,-5.5003,-4.924,-1.7337,,,,,insufficient_history
gbpjpy,2026-06-11,214.479,2.228,2.0,-4.6704,-3.6658,16.0224,,,,,insufficient_history
gbpnzd,2026-06-11,2.29849,0.363,2.0,5.7569,-6.0923,0.1029,,,,,insufficient_history
gbpusd,2026-06-11,1.34162,0.463,2.0,0.0366,-2.7854,0.6956,,,,,insufficient_history
nzdcad,2026-06-11,0.81445,1.141,2.0,-7.247,2.2776,1.2971,,,,,insufficient_history
nzdchf,2026-06-11,0.46331,4.124,2.0,-11.2572,1.1683,-1.8366,,,,,insufficient_history
nzdjpy,2026-06-11,93.279,1.865,2.0,-10.4273,2.4265,15.9195,,,,,insufficient_history
nzdusd,2026-06-11,0.58374,0.1,2.0,-5.7203,3.3069,0.5927,,,,,insufficient_history
usdcad,2026-06-11,1.39649,-1.041,2.0,1.5267,1.0293,-0.7044,,,,,insufficient_history
usdchf,2026-06-11,0.79468,-4.024,2.0,5.5369,2.1386,2.4293,,,,,insufficient_history
usdjpy,2026-06-11,159.923,-1.765,2.0,4.707,0.8804,-15.3268,,,,,insufficient_history
usdnok,2026-06-11,9.4767,-0.05,2.0,21.8363,6.8376,-0.0374,,,,,insufficient_history
usdsek,2026-06-11,9.4324,-1.6,2.0,7.9111,0.2728,-0.2135,,,,,insufficient_history
audcad,2026-06-12,0.98476,1.419,0.0,-2.812,-0.0845,-0.0988,,,,,insufficient_history
audchf,2026-06-12,0.561,4.424,0.0,-6.8222,-1.1938,-3.2325,,,,,insufficient_history
audjpy,2026-06-12,112.872,2.178,0.0,-5.9923,0.0644,14.5236,,,,,insufficient_history
audnzd,2026-06-12,1.20659,0.351,0.0,4.435,-2.3621,-1.3959,,,,,insufficient_history
audusd,2026-06-12,0.70487,0.341,0.0,-1.2853,0.9448,-0.8032,,,,,insufficient_history
cadchf,2026-06-12,0.5696,3.005,0.0,-4.0102,-1.1093,-3.1337,,,,,insufficient_history
cadjpy,2026-06-12,114.51,0.759,0.0,-3.1803,0.1489,14.6224,,,,,insufficient_history
chfjpy,2026-06-12,200.96,-2.246,0.0,0.8299,1.2582,17.7561,,,,,insufficient_history
euraud,2026-06-12,1.6418,-1.8217,0.0,4.305,-0.0478,0.839,,,,,insufficient_history
eurcad,2026-06-12,1.61804,-0.4027,0.0,1.493,-0.1323,0.7402,,,,,insufficient_history
eurchf,2026-06-12,0.92186,2.6023,0.0,-2.5172,-1.2416,-2.3935,,,,,insufficient_history
eurgbp,2026-06-12,0.86261,-1.8367,0.0,2.9831,3.5325,-0.6598,,,,,insufficient_history
eurjpy,2026-06-12,185.311,0.3563,0.0,-1.6873,0.0166,15.3626,,,,,insufficient_history
eurnok,2026-06-12,11.0044,-1.3757,0.0,-18.8166,-5.9406,0.0732,,,,,insufficient_history
eurnzd,2026-06-12,1.98179,-1.4707,0.0,8.74,-2.4099,-0.5569,,,,,insufficient_history
eursek,2026-06-12,10.903,0.1593,0.0,-4.8914,0.6242,0.2493,,,,,insufficient_history
eurusd,2026-06-12,1.15714,-1.4807,0.0,3.0197,0.897,0.0358,,,,,insufficient_history
gbpaud,2026-06-12,1.90269,0.015,0.0,1.3219,-3.5803,1.4988,,,,,insufficient_history
gbpcad,2026-06-12,1.87523,1.434,0.0,-1.4901,-3.6648,1.4,,,,,insufficient_history
gbpchf,2026-06-12,1.06792,4.439,0.0,-5.5003,-4.7741,-1.7337,,,,,insufficient_history
gbpjpy,2026-06-12,214.77,2.193,0.0,-4.6704,-3.5159,16.0224,,,,,insufficient_history
gbpnzd,2026-06-12,2.29829,0.366,0.0,5.7569,-5.9424,0.1029,,,,,insufficient_history
gbpusd,2026-06-12,1.34066,0.356,0.0,0.0366,-2.6355,0.6956,,,,,insufficient_history
nzdcad,2026-06-12,0.81557,1.068,0.0,-7.247,2.2776,1.2971,,,,,insufficient_history
nzdchf,2026-06-12,0.46405,4.073,0.0,-11.2572,1.1683,-1.8366,,,,,insufficient_history
nzdjpy,2026-06-12,93.408,1.827,0.0,-10.4273,2.4265,15.9195,,,,,insufficient_history
nzdusd,2026-06-12,0.58346,-0.01,0.0,-5.7203,3.3069,0.5927,,,,,insufficient_history
usdcad,2026-06-12,1.39845,-1.078,0.0,1.5267,1.0293,-0.7044,,,,,insufficient_history
usdchf,2026-06-12,0.79666,-4.083,0.0,5.5369,2.1386,2.4293,,,,,insufficient_history
usdjpy,2026-06-12,160.207,-1.837,0.0,4.707,0.8804,-15.3268,,,,,insufficient_history
usdnok,2026-06-12,9.5074,-0.105,0.0,21.8363,6.8376,-0.0374,,,,,insufficient_history
usdsek,2026-06-12,9.4368,-1.64,0.0,7.9111,0.2728,-0.2135,,,,,insufficient_history
audcad,2026-06-15,0.98939,1.395,1.0,-2.812,-0.0845,-0.0988,,,,,insufficient_history
audchf,2026-06-15,0.56141,4.452,1.0,-6.8222,-1.1938,-3.2325,,,,,insufficient_history
audjpy,2026-06-15,113.348,2.227,1.0,-5.9923,0.0644,14.5236,,,,,insufficient_history
